ar,cz,norm,cat_id,root_id,stem,stem_vowel,plural,masdar,val,transcription,meaning_variant,synonyms_ids,tags_ids,examples_ids,source_ids,disabled
تغيّرَ,změnit se V.,,[7],395,[11],,,,,,,,"[5,48,67]",,"[1,20]",false
تغدّى,obědvat V.,,[7],495,[11],,,,,,,,"[3,67]",,[20],false
تَعَشَّى,večeřet V.,,[7],496,[11],,,,,,,,"[3,67]",,[20],false
اِنْسَحَبَ,"stáhnout se (i např. vojsko) (z), být stažený (z)",,[7],497,[9],,,,من,insaḥaba,,,,,"[1,6,20,23]",false
"نظام (نُظُوم, أنظِمة)","řád, režim",,,98,,,,,,,,,"[46,58]",,[20],false
عَشَاءٌ,večeře,,,498,,,,,,,,,[28],,[20],false
حفلةُ العشاءَ,slavnostní večeře,,,179,,,,,,,,,"[28,63,68,85]",,[20],false
قوّة (ات),"síla, vojenské síly, jednotky",,,470,,,,,,,,,[50],,[20],false
حُكُومة (ات),"vláda, stát",,,180,,,,,,,,,"[46,58]",,[20],false
قَريباً,brzy,,[2],499,,,,,,,,,[48],,"[1,20]",false
بعد,"už; zatím, ještě ne (v - větě)",,[3],3,,,,,,,,,[35],,[20],false
مُبَاشَراً,přímo,,[2],500,,,,,,,,,,,[20],false
مباشرٌ,přímý,,[1],500,,,,,,,,,,,[20],false
مرةً واحدةً,ještě jednou,,[2],71,,,,,,,,,,,[20],false
في الحقيقة,ve skutečnosti,,[2],243,,,,,,,,,,,[20],false
تَنَازَلَ,ustoupit (od něčeho),,[7],25,[10],,,,عن,,,,[48],,"[1,20,23]",false
اِنْخَفَضَ,"snížit se, klesnout",,[7],501,[9],,,,,inḫafaḍa,,,[48],,"[1,6,20,23]",false
اِنْعَقَدَ,"konat se, být uspořádaný",,[7],463,[9],,,,,inʿaqada,,,[48],,"[1,6,20,23]",false
اِرْتَفَعَ,"zvýšit se, vzrůst",,[7],502,[8],,,,,,,,,,[20],false
صِحّةٌ,zdraví (1); pravdivost (2),,[9],36,,,,,,ṣiḥḥatun,,,[82],,"[19,20,23,31]",false
سِعْرٌ (أَسْعَارٌ),"cena, sazba, kurz",,,503,,,,,,,,,[53],,"[20,23]",false
غِذَاءٌ (أَغْذِيَة),potravina (1); jídlo (2),,,504,,,,,,,,,"[28,48]",,"[1,20,23]",false
فَصْلٌ (فُصُولٌ),semestr (1); roční období (2); kapitola (3),,,406,,,,,,faṣlun (fuṣūlun),,,,,"[11,20,23]",false
مُجَلّدٌ (ات),"svazek, díl (knihy); složka (PC)",,,505,,,,,,,,,"[29,48]",,"[1,20,23]",false
عَصْرٌ (عُصُورٌ),"epocha, období",,[9],193,,,,,,ʿaṣrun (ʿuṣūrun),,,[86],,"[6,20,23]",false
مَدْخَلٌ (مَدَاخِلُ),"vstup, vchod",,,242,,,,,,,,,[9],,"[20,23]",false
بَعْدَ ذلك,"poté, potom",,[6],3,,,,,,,,,[86],,"[20,23]",false
بِشَكْلٍ مَلْحُوظٍ,"výrazně, znatelně",,,37,,,,,,,,,[48],,"[1,20]",false
حَالَةٌ صِحِّية,zdravotní stav,,,78,,,,,,,,,"[63,68,82]",,"[20,23,31]",false
الخِلاَفَةُ الأُمَوِيّة,Umajjovský chalífát,,,14,,,,,,,,,[24],,"[20,23]",false
"غسل (ـِـ, غَسْل)","mýt, umývat, prát",,[7],506,[7],,,,,,,,,,[20],false
هَاتِفُ مَحْمُولٍ,mobilní (přenosný) telefon,,,507,,,,,,,,,[62],,[20],false
"كنس (ـُـ, كَنْس)","zamést, zametat",,[7],489,[7],,,,,,,,[48],,"[1,20]",false
قَارُورَةٌ (ات/قَوَارِيرُ),"láhev {1}, lahvička, flaška",,,201,,,,,,,,,[62],,[20],false
قوب (أقَوَابٌ),hrníček,,,508,,,,,,,,,"[17,62]",,[20],false
لتر (لترات),litr,,,95,,,,,,"litrun, ātun",,,"[17,26]",,"[12,20]",false
أسْمَرُ / سَمْرَاءُ(سمر/سمراوات),snědý,,[1],509,,,,,,,,,[8],,[20],false
أحمر / حَمْرَاءُ(حُمْرٌ/حَمْرَاوَات),červená,,[1],136,,,,,,,,,[8],,[20],false
أزرق/زَرْقَاءُ(زُرْقٌ/زرقاوات),modrá,,[1],510,,,,,,,,,[8],,[20],false
أخْضَرُ/خَضْرَاءُ(خَضْرٌ/خضراوات),zelená,,[1],303,,,,,,,,,[8],,[20],false
أصفر/صَفْراءُ(صفر/صفراوات),žlutá,,[1],511,,,,,,,,,[8],,[20],false
أسود/سوداء(سُود/سَوْداوات),černá,,[1],512,,,,,,,,,[8],,[20],false
أبيضُ/بيضاءُ (بِيض/بَيْضَاوَات),bílá,,[1],513,,,,,,,,,[8],,[20],false
بُرْتُوقَاليٌّ,oranžová (pomerančová),,[1],514,,,,,,,,,[8],,[20],false
بَنْفَسْجيٌّ,fialová,,[1],514,,,,,,,,,"[8,48]",,"[1,20]",false
بُنِّيٌّ,hnědá (barva kávových bobů),,[1],515,,,,,,,,,"[8,48]",,"[1,20]",false
رَمَادِيٌّ,šedý (popelavý),,[1],516,,,,,,,,,"[8,48]",,"[1,20]",false
وَرْدِيٌّ,růžový,,[1],517,,,,,,,,,[8],,[20],false
جمع (ـَـ),"shromáždit, získat",,[7],177,[7],,,,,ǧamaʿa,,,,,[20],false
حقَّق,"uskutečnit, realizovat",,[7],243,[4],,,,,,,,[48],,"[1,20]",false
قصد (ـِ),"mínit, mít na mysli",,[7],518,[7],,,,,qaṣada jaqṣidu,,,,,"[17,20]",false
بُلُوغٌ,dosažení,,,444,,,,,,,,,[50],,[20],false
حصول (على),získání (čeho),,,519,,,,,,,,,"[35,50]",,[20],false
تَحَقِيقٌ,"uskutečnění, realizace",,,243,,,,,,,,,[50],,[20],false
إداريٌّ,organizátor,,[9],182,,,,,,idārījun,,,"[33,48]",,"[1,17,20]",false
مركز (مراكز),"centrum, střed; postavení, místo (pořadí)",,,520,,,,,,,,,[50],,[20],false
سَيْطَرَةٌ,"nadvláda, převaha",,[9],521,,,,,,sajṭaratun,,,[50],,"[17,20]",false
أَصْبَحَ (1),"stát se (kým, čím)",,[7],522,[5],,,,ه/هـ,aṣbaḥa,,,,,"[17,20]",false
صُعُود,vzestup,,[9],278,,,,,,,,,"[19,50]",,"[17,20]",false
